category,prompt,run,scenario,trial,run_folder,coverage_pct,collisions_total,coverage_csv,bump_csv
long,prompt_5,run_2,middle_circle,trial_1,run_20260417_202710,10.0,7,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_5/run_2/middle_circle/trial_1/run_20260417_202710/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_5/run_2/middle_circle/trial_1/run_20260417_202710/bumps_global_202711.csv
long,prompt_5,run_2,middle_circle,trial_2,run_20260417_203035,11.0,1,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_5/run_2/middle_circle/trial_2/run_20260417_203035/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_5/run_2/middle_circle/trial_2/run_20260417_203035/bumps_global_203036.csv
long,prompt_5,run_2,middle_circle,trial_3,run_20260417_203400,14.0,0,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_5/run_2/middle_circle/trial_3/run_20260417_203400/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_5/run_2/middle_circle/trial_3/run_20260417_203400/bumps_global_203400.csv
long,prompt_5,run_3,middle_circle,trial_1,run_20260417_204739,57.0,51,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_5/run_3/middle_circle/trial_1/run_20260417_204739/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_5/run_3/middle_circle/trial_1/run_20260417_204739/bumps_global_204740.csv
long,prompt_5,run_3,middle_circle,trial_2,run_20260417_205104,60.0,33,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_5/run_3/middle_circle/trial_2/run_20260417_205104/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_5/run_3/middle_circle/trial_2/run_20260417_205104/bumps_global_205105.csv
long,prompt_5,run_3,middle_circle,trial_3,run_20260417_205429,58.0,38,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_5/run_3/middle_circle/trial_3/run_20260417_205429/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_5/run_3/middle_circle/trial_3/run_20260417_205429/bumps_global_205429.csv
medium,prompt_1,run_1,middle_circle,trial_1,run_20260417_210809,6.0,0,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_1/run_1/middle_circle/trial_1/run_20260417_210809/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_1/run_1/middle_circle/trial_1/run_20260417_210809/bumps_global_210809.csv
medium,prompt_1,run_1,middle_circle,trial_2,run_20260417_211133,6.0,0,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_1/run_1/middle_circle/trial_2/run_20260417_211133/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_1/run_1/middle_circle/trial_2/run_20260417_211133/bumps_global_211134.csv
medium,prompt_1,run_1,middle_circle,trial_3,run_20260417_211458,6.0,0,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_1/run_1/middle_circle/trial_3/run_20260417_211458/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_1/run_1/middle_circle/trial_3/run_20260417_211458/bumps_global_211459.csv
medium,prompt_1,run_2,middle_circle,trial_1,run_20260417_212838,49.0,17,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_1/run_2/middle_circle/trial_1/run_20260417_212838/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_1/run_2/middle_circle/trial_1/run_20260417_212838/bumps_global_212838.csv
medium,prompt_1,run_2,middle_circle,trial_2,run_20260417_213202,50.0,42,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_1/run_2/middle_circle/trial_2/run_20260417_213202/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_1/run_2/middle_circle/trial_2/run_20260417_213202/bumps_global_213203.csv
medium,prompt_1,run_2,middle_circle,trial_3,run_20260417_213527,49.0,34,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_1/run_2/middle_circle/trial_3/run_20260417_213527/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_1/run_2/middle_circle/trial_3/run_20260417_213527/bumps_global_213528.csv
