controller,prompt,run,trial,sim_run,coverage_pct,collisions_total,pareto_optimal,sim_dir,coverage_csv,bump_csv
gpt-5.4 prompt_1 run_5,prompt_1,run_5,trial_31,run_20260429_032518,61.0,43,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_31/run_20260429_032518,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_31/run_20260429_032518/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_31/run_20260429_032518/bumps_global_032519.csv
gpt-5.4 prompt_3 run_1,prompt_3,run_1,trial_1,run_20260428_193902,61.0,49,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_1/run_20260428_193902,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_1/run_20260428_193902/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_1/run_20260428_193902/bumps_global_193902.csv
gpt-5.4 prompt_3 run_1,prompt_3,run_1,trial_2,run_20260429_033022,52.0,78,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_2/run_20260429_033022,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_2/run_20260429_033022/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_2/run_20260429_033022/bumps_global_033022.csv
gpt-5.4 prompt_3 run_1,prompt_3,run_1,trial_3,run_20260429_033525,42.0,37,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_3/run_20260429_033525,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_3/run_20260429_033525/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_3/run_20260429_033525/bumps_global_033526.csv
gpt-5.4 prompt_3 run_1,prompt_3,run_1,trial_4,run_20260429_034029,49.0,85,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_4/run_20260429_034029,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_4/run_20260429_034029/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_4/run_20260429_034029/bumps_global_034029.csv
gpt-5.4 prompt_3 run_1,prompt_3,run_1,trial_5,run_20260429_034532,58.0,55,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_5/run_20260429_034532,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_5/run_20260429_034532/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_5/run_20260429_034532/bumps_global_034533.csv
gpt-5.4 prompt_3 run_1,prompt_3,run_1,trial_6,run_20260429_035036,54.0,52,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_6/run_20260429_035036,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_6/run_20260429_035036/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_6/run_20260429_035036/bumps_global_035037.csv
gpt-5.4 prompt_3 run_1,prompt_3,run_1,trial_7,run_20260429_035540,62.0,63,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_7/run_20260429_035540,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_7/run_20260429_035540/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_7/run_20260429_035540/bumps_global_035540.csv
gpt-5.4 prompt_3 run_1,prompt_3,run_1,trial_8,run_20260429_040043,47.0,47,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_8/run_20260429_040043,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_8/run_20260429_040043/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_8/run_20260429_040043/bumps_global_040044.csv
gpt-5.4 prompt_3 run_1,prompt_3,run_1,trial_9,run_20260429_040547,63.0,70,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_9/run_20260429_040547,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_9/run_20260429_040547/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_9/run_20260429_040547/bumps_global_040547.csv
