wall_time,source,target,decision,skip_reason,warning_zone,distance_m,confidence,raw_detection,raw_message
1783680719.387325,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.078841,,global_pose,"bearing_deg=-98.026,zone_reason=side_sector"
1783680719.487354,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.095421,,global_pose,"bearing_deg=-100.030,zone_reason=side_sector"
1783680719.587260,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.113080,,global_pose,"bearing_deg=-101.987,zone_reason=side_sector"
1783680719.687290,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.122989,,global_pose,"bearing_deg=-103.533,zone_reason=side_sector"
1783680719.787282,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.138693,,global_pose,"bearing_deg=-105.271,zone_reason=side_sector"
1783680719.887393,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.159001,,global_pose,"bearing_deg=-107.110,zone_reason=side_sector"
1783680719.987277,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.180255,,global_pose,"bearing_deg=-108.898,zone_reason=side_sector"
1783680720.087359,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.202405,,global_pose,"bearing_deg=-110.635,zone_reason=side_sector"
1783680720.187386,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.216403,,global_pose,"bearing_deg=-112.001,zone_reason=side_sector"
1783680720.287281,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.238031,,global_pose,"bearing_deg=-113.591,zone_reason=side_sector"
1783680809.487274,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.214512,,global_pose,"bearing_deg=20.781,zone_reason=front_sector"
1783680809.587420,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.177036,,global_pose,"bearing_deg=22.501,zone_reason=front_sector"
1783680809.687540,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.140688,,global_pose,"bearing_deg=24.331,zone_reason=front_sector"
1783680809.787333,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.105581,,global_pose,"bearing_deg=26.280,zone_reason=front_sector"
1783680809.887309,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.071835,,global_pose,"bearing_deg=28.354,zone_reason=front_sector"
1783680809.987365,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.039585,,global_pose,"bearing_deg=30.560,zone_reason=front_sector"
1783680810.087375,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.008972,,global_pose,"bearing_deg=32.903,zone_reason=front_sector"
1783680810.187403,robot_3,robot_0,sent,,CORNER,0.980151,,global_pose,"bearing_deg=35.389,zone_reason=front_sector"
1783680810.287519,robot_3,robot_0,sent,,CORNER,0.954403,,global_pose,"bearing_deg=38.071,zone_reason=front_sector"
1783680810.387407,robot_3,robot_0,sent,,CORNER,0.937347,,global_pose,"bearing_deg=40.898,zone_reason=front_sector"
1783680810.487332,robot_3,robot_0,sent,,CORNER,0.936367,,global_pose,"bearing_deg=41.605,zone_reason=front_sector"
1783680810.587455,robot_3,robot_0,sent,,CORNER,0.941987,,global_pose,"bearing_deg=40.404,zone_reason=front_sector"
1783680810.687329,robot_3,robot_0,sent,,CORNER,0.948128,,global_pose,"bearing_deg=37.691,zone_reason=front_sector"
1783680810.787569,robot_3,robot_0,sent,,CORNER,0.954962,,global_pose,"bearing_deg=34.482,zone_reason=front_sector"
1783680810.887421,robot_3,robot_0,sent,,CORNER,0.962497,,global_pose,"bearing_deg=31.291,zone_reason=front_sector"
1783680810.987325,robot_3,robot_0,sent,,CORNER,0.970707,,global_pose,"bearing_deg=28.117,zone_reason=front_sector"
