frame_index,time_s,robot,x,y
320,10.667,robot_0,0.1872,1.7179
320,10.667,robot_1,1.1729,0.8076
320,10.667,robot_2,0.1805,0.3297
322,10.733,robot_0,0.1872,1.7179
322,10.733,robot_1,1.1729,0.8064
322,10.733,robot_2,0.1805,0.3297
324,10.800,robot_0,0.1872,1.7179
324,10.800,robot_1,1.1731,0.8027
324,10.800,robot_2,0.1805,0.3297
326,10.867,robot_0,0.1872,1.7179
326,10.867,robot_1,1.1742,0.8013
326,10.867,robot_2,0.1805,0.3297
328,10.933,robot_0,0.1872,1.7179
328,10.933,robot_1,1.1751,0.7974
328,10.933,robot_2,0.1805,0.3297
330,11.000,robot_0,0.1872,1.7179
330,11.000,robot_1,1.1729,0.7918
330,11.000,robot_2,0.1805,0.3297
332,11.067,robot_0,0.1872,1.7179
332,11.067,robot_1,1.1743,0.7908
332,11.067,robot_2,0.1805,0.3297
334,11.133,robot_0,0.1872,1.7179
334,11.133,robot_1,1.1733,0.7862
334,11.133,robot_2,0.1805,0.3297
336,11.200,robot_0,0.1872,1.7179
336,11.200,robot_1,1.1751,0.7851
336,11.200,robot_2,0.1805,0.3297
338,11.267,robot_0,0.1872,1.7179
338,11.267,robot_1,1.1750,0.7820
338,11.267,robot_2,0.1805,0.3297
340,11.333,robot_0,0.1872,1.7179
340,11.333,robot_1,1.1761,0.7784
340,11.333,robot_2,0.1791,0.3304
342,11.400,robot_0,0.1872,1.7179
342,11.400,robot_1,1.1762,0.7779
342,11.400,robot_2,0.1791,0.3304
344,11.467,robot_0,0.1872,1.7179
344,11.467,robot_1,1.1773,0.7778
344,11.467,robot_2,0.1791,0.3304
346,11.533,robot_0,0.1872,1.7179
346,11.533,robot_1,1.1773,0.7778
346,11.533,robot_2,0.1791,0.3304
348,11.600,robot_0,0.1872,1.7179
348,11.600,robot_1,1.1773,0.7778
348,11.600,robot_2,0.1791,0.3304
350,11.667,robot_0,0.1872,1.7179
350,11.667,robot_1,1.1773,0.7778
350,11.667,robot_2,0.1791,0.3304
352,11.733,robot_0,0.1872,1.7179
352,11.733,robot_1,1.1773,0.7778
352,11.733,robot_2,0.1791,0.3304
354,11.800,robot_0,0.1872,1.7179
354,11.800,robot_1,1.1773,0.7778
354,11.800,robot_2,0.1791,0.3304
356,11.867,robot_0,0.1872,1.7179
356,11.867,robot_1,1.1773,0.7778
356,11.867,robot_2,0.1791,0.3304
358,11.933,robot_0,0.1872,1.7179
358,11.933,robot_1,1.1773,0.7778
358,11.933,robot_2,0.1791,0.3304
360,12.000,robot_0,0.1872,1.7179
360,12.000,robot_1,1.1773,0.7778
360,12.000,robot_2,0.1791,0.3304
362,12.067,robot_0,0.1872,1.7179
362,12.067,robot_1,1.1773,0.7778
362,12.067,robot_2,0.1791,0.3304
364,12.133,robot_0,0.1872,1.7179
364,12.133,robot_1,1.1762,0.7779
364,12.133,robot_2,0.1791,0.3304
366,12.200,robot_0,0.1872,1.7179
366,12.200,robot_1,1.1693,0.7778
366,12.200,robot_2,0.1791,0.3304
368,12.267,robot_0,0.1872,1.7179
368,12.267,robot_1,1.1634,0.7749
368,12.267,robot_2,0.1791,0.3304
370,12.333,robot_0,0.1872,1.7179
370,12.333,robot_1,1.1371,0.7763
370,12.333,robot_2,0.1791,0.3304
372,12.400,robot_0,0.1872,1.7179
372,12.400,robot_1,1.1153,0.7735
372,12.400,robot_2,0.1791,0.3304
374,12.467,robot_0,0.1872,1.7179
374,12.467,robot_1,1.1034,0.7689
374,12.467,robot_2,0.1791,0.3304
376,12.533,robot_0,0.1872,1.7179
376,12.533,robot_2,0.1791,0.3304
378,12.600,robot_0,0.1872,1.7179
378,12.600,robot_1,1.0464,0.7651
378,12.600,robot_2,0.1791,0.3304
380,12.667,robot_0,0.1872,1.7179
380,12.667,robot_1,1.0373,0.7658
380,12.667,robot_2,0.1791,0.3304
382,12.733,robot_0,0.1872,1.7179
382,12.733,robot_1,1.0251,0.7663
