wall_time,source,target,decision,skip_reason,source_zone,source_zone_active,source_zone_age_s,target_zone,target_zone_active,target_zone_age_s,distance_m,warning_distance_m,source_pose_fresh,target_pose_fresh,source_pose_age_s,target_pose_age_s,warning_zone,bearing_deg,zone_reason
1783521780.336346,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.266478,CORNER,true,0.280898,0.026717,1.000000,true,true,0.047332,0.046943,CORNER,22.279350,critical_distance
1783521780.436352,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.366484,CLEAR,false,0.345671,0.005183,1.000000,true,true,0.047011,0.046803,CORNER,-9.685106,critical_distance
1783521780.436352,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.366484,CORNER,true,0.380904,0.026717,1.000000,true,true,0.047011,0.046621,CORNER,18.239998,critical_distance
1783521780.536302,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.466434,CLEAR,false,0.445621,0.005183,1.000000,true,true,0.046413,0.047008,CORNER,-15.414684,critical_distance
1783521780.536302,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.466434,CORNER,true,0.480854,0.026717,1.000000,true,true,0.046413,0.046203,CORNER,12.710955,critical_distance
1783521780.636444,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.060943,CLEAR,false,0.042780,0.005183,1.000000,true,true,0.043815,0.043482,CORNER,-21.144262,critical_distance
1783521780.636444,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.060943,CORNER,true,0.074661,0.026717,1.000000,true,true,0.043815,0.043267,CORNER,6.981377,critical_distance
1783521780.736283,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.160781,CLEAR,false,0.142619,0.005183,1.000000,true,true,0.046823,0.046391,CORNER,-26.873840,critical_distance
1783521780.736283,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.160781,CORNER,true,0.174499,0.026717,1.000000,true,true,0.046823,0.046254,CORNER,1.251799,critical_distance
1783521780.836327,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.260825,CLEAR,false,0.242663,0.005183,1.000000,true,true,0.047286,0.046503,CORNER,-32.603418,critical_distance
1783521780.836327,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.260825,CORNER,true,0.274543,0.026717,1.000000,true,true,0.047286,0.046330,CORNER,-4.477779,critical_distance
1783521780.936301,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.360799,CLEAR,false,0.342637,0.005183,1.000000,true,true,0.047100,0.046672,CORNER,-38.332996,critical_distance
1783521780.936301,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.360799,CORNER,true,0.374517,0.026717,1.000000,true,true,0.047100,0.046505,CORNER,-10.207357,critical_distance
1783521781.036380,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.460878,CLEAR,false,0.442716,0.005183,1.000000,true,true,0.047383,0.046653,CORNER,-44.062574,critical_distance
1783521781.036380,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.460878,CORNER,true,0.474596,0.026717,1.000000,true,true,0.047383,0.046421,CORNER,-15.936935,critical_distance
1783521781.136360,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.043362,LEFT,true,0.021573,0.005183,1.000000,true,true,0.044247,0.043868,CORNER,-49.792152,critical_distance
1783521781.136360,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.043362,CORNER,true,0.062998,0.026717,1.000000,true,true,0.044247,0.045069,CORNER,-21.666513,critical_distance
1783521781.236308,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.143310,LEFT,true,0.121520,0.005183,1.000000,true,true,0.046452,0.046967,CORNER,-55.418597,critical_distance
1783521781.236308,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.143310,CORNER,true,0.162945,0.026717,1.000000,true,true,0.046452,0.046280,CORNER,-27.396091,critical_distance
1783521781.336311,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.243314,LEFT,true,0.221524,0.005183,1.000000,true,true,0.045986,0.046506,CORNER,-59.687133,critical_distance
1783521781.336311,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.243314,CORNER,true,0.262949,0.026717,1.000000,true,true,0.045986,0.045773,CORNER,-33.125668,critical_distance
1783521781.436327,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.343329,LEFT,true,0.321540,0.005183,1.000000,true,true,0.046316,0.046142,CORNER,-62.236795,critical_distance
1783521781.436327,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.343329,CORNER,true,0.362965,0.026717,1.000000,true,true,0.046316,0.046866,CORNER,-38.855246,critical_distance
1783521781.536325,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.443327,LEFT,true,0.421538,0.005183,1.000000,true,true,0.046868,0.046331,CORNER,-63.067584,critical_distance
1783521781.536325,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.443327,CORNER,true,0.462963,0.026717,1.000000,true,true,0.046868,0.046114,CORNER,-44.584824,critical_distance
1783521781.636427,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.052966,CORNER,true,0.023641,0.005183,1.000000,true,true,0.045438,0.045154,CORNER,-63.067584,critical_distance
1783521781.636427,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.052966,CORNER,true,0.068475,0.026717,1.000000,true,true,0.045438,0.046318,CORNER,-50.314402,critical_distance
1783521781.736338,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.152877,CORNER,true,0.123552,0.005183,1.000000,true,true,0.046656,0.045831,CORNER,-63.170716,critical_distance
1783521781.736338,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.152877,CORNER,true,0.168386,0.026717,1.000000,true,true,0.046656,0.045608,CORNER,-56.043980,critical_distance
1783521781.836336,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.252875,CORNER,true,0.223550,0.005183,1.000000,true,true,0.046043,0.045880,CORNER,-64.425494,critical_distance
1783521781.836336,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.252875,CORNER,true,0.268384,0.026717,1.000000,true,true,0.046043,0.046618,CORNER,-61.154764,critical_distance
1783521781.936438,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.352977,CORNER,true,0.323652,0.005183,1.000000,true,true,0.046871,0.046311,CORNER,-64.786457,critical_distance
1783521781.936438,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.352977,CORNER,true,0.368486,0.026717,1.000000,true,true,0.046871,0.046143,CORNER,-64.563863,critical_distance
1783521782.036373,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.452912,CORNER,true,0.423587,0.005183,1.000000,true,true,0.046783,0.045876,CORNER,-64.786457,critical_distance
