wall_time,robot,reasons,raw_zone,effective_zone,peer_warning_zone,peer_warning_age_s,front_distance_m,distance_age_s,cbf_safety_distance_m,cbf_alpha,requested_linear_x,requested_angular_z,filtered_linear_x,filtered_angular_z
1783687809.762640,robot_0,peer_warning_turn_away_left|peer_warning_pass_slow_side,CORNER,CORNER,LEFT,0.006420,0.877880,0.014447,0.600000,1.200000,-0.080000,0.650000,-0.080000,-0.650000
1783687809.862359,robot_0,peer_warning_turn_away_left|peer_warning_pass_slow_side,CORNER,CORNER,LEFT,0.004103,0.877880,0.114317,0.600000,1.200000,-0.080000,0.650000,-0.080000,-0.650000
1783687809.962527,robot_0,peer_warning_turn_away_left|peer_warning_pass_slow_side,CORNER,CORNER,LEFT,0.006249,0.877880,0.214457,0.600000,1.200000,-0.080000,0.650000,-0.080000,-0.650000
1783687810.062413,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.005584,0.877880,0.314366,0.600000,1.200000,-0.080000,0.650000,0.000000,0.650000
1783687810.162495,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.006400,0.877880,0.414435,0.600000,1.200000,-0.080000,0.650000,0.000000,0.650000
1783687810.262429,robot_0,peer_warning_stop_backward,RIGHT,RIGHT,BACK,0.005905,0.905309,0.062971,0.600000,1.200000,-0.080000,0.650000,0.000000,0.650000
1783687810.662636,robot_0,stale_distance_stop,RIGHT,RIGHT,BACK,0.006393,0.905309,0.463071,0.600000,1.200000,0.160000,0.250000,0.000000,0.250000
1783687810.762501,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.006101,0.879109,0.038126,0.600000,1.200000,-0.080000,-0.650000,0.000000,-0.650000
1783687810.862664,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.006428,0.879109,0.138266,0.600000,1.200000,-0.080000,-0.650000,0.000000,-0.650000
1783687810.962439,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.005041,0.879109,0.238066,0.600000,1.200000,-0.080000,-0.650000,0.000000,-0.650000
1783687811.062485,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.004862,0.879109,0.338096,0.600000,1.200000,-0.080000,-0.650000,0.000000,-0.650000
